	Flow - Replication 416 - Car (veh/h)	Speed - Replication 416 - Car (km/h)
00:01:00	1740.00	108.58
00:02:00	1980.00	99.66
00:03:00	1980.00	104.41
00:04:00	2640.00	103.35
00:05:00	2820.00	102.49
00:06:00	1860.00	110.58
00:07:00	1140.00	108.46
00:08:00	1260.00	107.46
00:09:00	1980.00	105.90
00:10:00	1500.00	104.83
00:11:00	2640.00	106.29
00:12:00	2820.00	96.29
00:13:00	3000.00	95.12
00:14:00	2220.00	107.12
00:15:00	2520.00	107.03
00:16:00	1260.00	107.38
00:17:00	1440.00	105.94
00:18:00	1680.00	105.78
00:19:00	1500.00	104.57
00:20:00	1440.00	102.72
00:21:00	2160.00	105.72
00:22:00	2220.00	102.74
00:23:00	2220.00	103.84
00:24:00	2640.00	93.19
00:25:00	3120.00	101.26
00:26:00	1440.00	107.85
00:27:00	2160.00	102.83
00:28:00	2100.00	100.82
00:29:00	1440.00	102.83
00:30:00	1260.00	102.01
00:31:00	2100.00	102.34
00:32:00	2100.00	105.86
00:33:00	2400.00	98.12
00:34:00	2340.00	105.45
00:35:00	2460.00	101.53
00:36:00	2040.00	103.62
00:37:00	840.00	105.52
00:38:00	1200.00	105.39
00:39:00	1800.00	107.03
00:40:00	1380.00	107.76
00:41:00	2640.00	105.12
00:42:00	2520.00	102.93
00:43:00	2400.00	98.95
00:44:00	2280.00	104.31
00:45:00	2820.00	102.08
00:46:00	1740.00	109.53
00:47:00	1140.00	108.95
00:48:00	1680.00	104.09
00:49:00	2160.00	105.76
00:50:00	1380.00	105.78
00:51:00	2640.00	102.23
00:52:00	2400.00	105.89
00:53:00	2160.00	103.14
00:54:00	2340.00	106.44
00:55:00	1980.00	104.87
00:56:00	2340.00	102.97
00:57:00	1320.00	100.92
00:58:00	1860.00	105.71
00:59:00	1620.00	103.37
01:00:00	1800.00	107.94
Aggregated	2001.00	103.73
