#signal_setting_time (s),cycle_duration (s), flow (veh/hr)
315.00,15.00,7.397369e+02
330.00,30.00,3.948121e+02
360.00,30.00,6.404868e+02
390.00,30.00,5.748121e+02
420.00,30.00,7.419206e+02
450.00,30.00,6.819244e+02
480.00,30.00,6.552485e+02
510.00,30.00,6.552485e+02
540.00,30.00,6.880051e+02
570.00,30.00,6.748702e+02
600.00,30.00,6.672485e+02
615.00,15.00,900
630.00,30.00,900
660.00,30.00,900
690.00,30.00,7.516955e+02
720.00,30.00,6.672485e+02
750.00,30.00,6.672485e+02
780.00,30.00,4.248893e+02
810.00,30.00,0
840.00,30.00,0
870.00,30.00,0
900.00,30.00,0
915.00,15.00,0
930.00,30.00,900
960.00,30.00,900
990.00,30.00,900
1020.00,30.00,900
1050.00,30.00,900
1080.00,30.00,900
1110.00,30.00,7.560890e+02
1140.00,30.00,0
1170.00,30.00,0
1200.00,30.00,0
1215.00,15.00,900
1230.00,30.00,900
1260.00,30.00,900
1290.00,30.00,900
1320.00,30.00,6.325744e+02
1350.00,30.00,0
1380.00,30.00,0
1410.00,30.00,0
1440.00,30.00,0
1470.00,30.00,0
1500.00,30.00,0
1515.00,15.00,5.206160e+02
1530.00,30.00,900
1560.00,30.00,900
1590.00,30.00,900
1620.00,30.00,900
1650.00,30.00,4.561883e+02
1680.00,30.00,3.196652e+02
1710.00,30.00,5.057825e+02
1740.00,30.00,2.594557e+02
1770.00,30.00,4.532038e+02
1800.00,30.00,1.510120e+02
1815.00,15.00,4.351438e+02
1830.00,30.00,900
1860.00,30.00,900
1890.00,30.00,900
1920.00,30.00,2.766364e+02
1950.00,30.00,0
1980.00,30.00,0
2010.00,30.00,0
2040.00,30.00,0
2070.00,30.00,0
2100.00,30.00,0
2115.00,15.00,5.447892e+02
2130.00,30.00,900
2160.00,30.00,900
2190.00,30.00,900
2220.00,30.00,900
2250.00,30.00,900
2280.00,30.00,900
2310.00,30.00,8.253461e+02
2340.00,30.00,0
2370.00,30.00,5.434883e+02
2400.00,30.00,7.481698e+01
2415.00,15.00,3.470562e+02
2430.00,30.00,900
2460.00,30.00,900
2490.00,30.00,900
2520.00,30.00,900
2550.00,30.00,900
2580.00,30.00,900
2610.00,30.00,3.109971e+02
2640.00,30.00,0
2670.00,30.00,0
2700.00,30.00,0
2715.00,15.00,0
2730.00,30.00,900
2760.00,30.00,900
2790.00,30.00,900
2820.00,30.00,900
2850.00,30.00,900
2880.00,30.00,900
2910.00,30.00,900
2940.00,30.00,4.428665e+02
2970.00,30.00,0
3000.00,30.00,5.169009e+01
3015.00,15.00,4.234815e+02
3030.00,30.00,900
3060.00,30.00,900
3090.00,30.00,900
3120.00,30.00,900
3150.00,30.00,900
3180.00,30.00,1.019908e+02
3210.00,30.00,0
3240.00,30.00,0
3270.00,30.00,0
3300.00,30.00,0
3315.00,15.00,0
3330.00,30.00,900
3360.00,30.00,900
3390.00,30.00,900
3420.00,30.00,900
3450.00,30.00,900
3480.00,30.00,1.975053e+02
3510.00,30.00,1.208636e+02
3540.00,30.00,900
3570.00,30.00,900
