	Flow - Average 412 - Car (veh/h)
00:01:00	0.00
00:02:00	18.00 (40.50)
00:03:00	1620.00 (178.89)
00:04:00	2154.00 (142.69)
00:05:00	2154.00 (134.01)
00:06:00	2190.00 (64.81)
00:07:00	2196.00 (147.51)
00:08:00	2226.00 (44.27)
00:09:00	2208.00 (101.19)
00:10:00	2166.00 (194.83)
00:11:00	1968.00 (279.71)
00:12:00	2172.00 (156.97)
00:13:00	2208.00 (101.19)
00:14:00	2208.00 (119.33)
00:15:00	2184.00 (70.43)
00:16:00	2256.00 (70.43)
00:17:00	2244.00 (57.97)
00:18:00	2238.00 (89.67)
00:19:00	2232.00 (37.95)
00:20:00	2172.00 (209.38)
00:21:00	2100.00 (213.54)
00:22:00	2142.00 (196.06)
00:23:00	2136.00 (165.41)
00:24:00	2190.00 (110.45)
00:25:00	2250.00 (50.99)
00:26:00	2172.00 (115.93)
00:27:00	2220.00 (63.25)
00:28:00	2172.00 (258.92)
00:29:00	2196.00 (170.18)
00:30:00	2172.00 (97.16)
00:31:00	2106.00 (161.12)
00:32:00	2142.00 (274.30)
00:33:00	2190.00 (70.71)
00:34:00	2220.00 (93.81)
00:35:00	2148.00 (166.85)
00:36:00	2208.00 (92.95)
00:37:00	2268.00 (37.95)
00:38:00	2226.00 (59.67)
00:39:00	2082.00 (231.60)
00:40:00	2160.00 (254.56)
00:41:00	2148.00 (178.44)
00:42:00	2160.00 (172.05)
00:43:00	2172.00 (101.19)
00:44:00	2256.00 (50.60)
00:45:00	2238.00 (56.92)
00:46:00	2238.00 (49.40)
00:47:00	2244.00 (41.95)
00:48:00	2202.00 (49.40)
00:49:00	2208.00 (97.16)
00:50:00	2244.00 (85.79)
00:51:00	2154.00 (256.83)
00:52:00	2124.00 (167.81)
00:53:00	1968.00 (265.03)
00:54:00	2226.00 (66.03)
00:55:00	2256.00 (41.95)
00:56:00	2208.00 (83.90)
00:57:00	2220.00 (56.57)
00:58:00	2220.00 (56.57)
00:59:00	2238.00 (63.56)
01:00:00	2196.00 (70.43)
