	Flow - Average 412 - Car (veh/h)
00:01:00	270.00 (117.47)
00:02:00	348.00 (159.50)
00:03:00	276.00 (113.84)
00:04:00	258.00 (113.31)
00:05:00	282.00 (147.11)
00:06:00	318.00 (109.73)
00:07:00	276.00 (98.79)
00:08:00	300.00 (141.42)
00:09:00	288.00 (97.16)
00:10:00	420.00 (129.61)
00:11:00	288.00 (122.64)
00:12:00	396.00 (150.20)
00:13:00	342.00 (149.80)
00:14:00	282.00 (155.05)
00:15:00	294.00 (71.83)
00:16:00	270.00 (155.56)
00:17:00	330.00 (124.10)
00:18:00	240.00 (113.14)
00:19:00	282.00 (129.77)
00:20:00	306.00 (118.15)
00:21:00	204.00 (85.79)
00:22:00	318.00 (123.45)
00:23:00	324.00 (102.76)
00:24:00	210.00 (110.45)
00:25:00	330.00 (127.28)
00:26:00	312.00 (105.07)
00:27:00	336.00 (90.33)
00:28:00	204.00 (141.99)
00:29:00	342.00 (224.59)
00:30:00	306.00 (91.43)
00:31:00	234.00 (77.20)
00:32:00	306.00 (139.86)
00:33:00	348.00 (222.35)
00:34:00	330.00 (136.38)
00:35:00	270.00 (94.87)
00:36:00	276.00 (110.27)
00:37:00	270.00 (158.11)
00:38:00	372.00 (105.07)
00:39:00	342.00 (120.17)
00:40:00	354.00 (114.72)
00:41:00	312.00 (83.90)
00:42:00	294.00 (124.74)
00:43:00	240.00 (93.81)
00:44:00	216.00 (85.79)
00:45:00	324.00 (130.23)
00:46:00	288.00 (132.06)
00:47:00	306.00 (114.72)
00:48:00	306.00 (131.00)
00:49:00	252.00 (88.54)
00:50:00	276.00 (117.30)
00:51:00	330.00 (155.56)
00:52:00	300.00 (183.30)
00:53:00	366.00 (173.09)
00:54:00	312.00 (129.00)
00:55:00	264.00 (136.24)
00:56:00	312.00 (105.07)
00:57:00	330.00 (120.83)
00:58:00	228.00 (119.33)
00:59:00	318.00 (109.73)
01:00:00	210.00 (124.10)
