	Flow - Average 412 - Car (veh/h)
00:01:00	2376.00 (395.17)
00:02:00	2106.00 (312.99)
00:03:00	2244.00 (373.31)
00:04:00	1956.00 (170.18)
00:05:00	2250.00 (387.04)
00:06:00	1596.00 (241.99)
00:07:00	1686.00 (216.24)
00:08:00	1506.00 (320.56)
00:09:00	1740.00 (323.73)
00:10:00	1626.00 (311.70)
00:11:00	2172.00 (426.90)
00:12:00	2328.00 (289.55)
00:13:00	2256.00 (440.18)
00:14:00	2250.00 (366.88)
00:15:00	2250.00 (372.29)
00:16:00	1542.00 (284.32)
00:17:00	1662.00 (302.06)
00:18:00	1620.00 (189.74)
00:19:00	1578.00 (229.87)
00:20:00	1698.00 (353.33)
00:21:00	2280.00 (590.59)
00:22:00	2448.00 (406.74)
00:23:00	2028.00 (234.61)
00:24:00	2136.00 (334.90)
00:25:00	2310.00 (344.38)
00:26:00	1620.00 (249.80)
00:27:00	1536.00 (270.11)
00:28:00	1584.00 (408.12)
00:29:00	1680.00 (501.20)
00:30:00	1512.00 (276.84)
00:31:00	2250.00 (353.55)
00:32:00	2040.00 (251.40)
00:33:00	2298.00 (401.05)
00:34:00	2172.00 (293.67)
00:35:00	2214.00 (282.06)
00:36:00	1524.00 (271.59)
00:37:00	1530.00 (286.01)
00:38:00	1656.00 (375.45)
00:39:00	1638.00 (306.01)
00:40:00	1464.00 (295.57)
00:41:00	2166.00 (315.53)
00:42:00	2070.00 (332.57)
00:43:00	2250.00 (362.49)
00:44:00	2124.00 (357.99)
00:45:00	2202.00 (284.32)
00:46:00	1446.00 (299.93)
00:47:00	1494.00 (261.46)
00:48:00	1746.00 (298.60)
00:49:00	1746.00 (314.26)
00:50:00	1452.00 (390.69)
00:51:00	2106.00 (326.74)
00:52:00	2376.00 (514.74)
00:53:00	2202.00 (331.12)
00:54:00	2094.00 (349.23)
00:55:00	2292.00 (232.89)
00:56:00	1530.00 (307.57)
00:57:00	1656.00 (405.17)
00:58:00	1530.00 (240.42)
00:59:00	1470.00 (280.36)
01:00:00	1620.00 (269.81)
