#signal_setting_time (s),cycle_duration (s), flow (veh/hr)
65.00,30.00,5.119742e+02
95.00,30.00,0
125.00,30.00,8.518659e+02
155.00,30.00,1.070460e+02
185.00,30.00,0
215.00,30.00,0
245.00,30.00,0
275.00,30.00,0
305.00,30.00,0
335.00,30.00,0
365.00,30.00,0
395.00,30.00,0
425.00,30.00,0
455.00,30.00,2.293159e+02
485.00,30.00,4.822699e+02
515.00,30.00,7.070460e+02
545.00,30.00,0
575.00,30.00,4.693159e+02
605.00,30.00,3.622699e+02
635.00,30.00,7.070460e+02
665.00,30.00,7.989465e+01
695.00,30.00,1.070460e+02
725.00,30.00,0
755.00,30.00,0
785.00,30.00,0
815.00,30.00,0
845.00,30.00,0
875.00,30.00,0
905.00,30.00,0
935.00,30.00,0
965.00,30.00,0
995.00,30.00,0
1025.00,30.00,1.222699e+02
1055.00,30.00,7.070460e+02
1085.00,30.00,1.222699e+02
1115.00,30.00,7.070460e+02
1145.00,30.00,2.422699e+02
1175.00,30.00,7.070460e+02
1205.00,30.00,0
1235.00,30.00,6.457909e+02
1265.00,30.00,6.798946e+02
1295.00,30.00,1.070460e+02
1325.00,30.00,0
1355.00,30.00,0
1385.00,30.00,0
1415.00,30.00,0
1445.00,30.00,0
1475.00,30.00,0
1505.00,30.00,0
1535.00,30.00,0
1565.00,30.00,0
1595.00,30.00,0
1625.00,30.00,2.269874e+00
1655.00,30.00,7.070460e+02
1685.00,30.00,0
1715.00,30.00,4.693159e+02
1745.00,30.00,4.822699e+02
1775.00,30.00,7.070460e+02
1805.00,30.00,2.269874e+00
1835.00,30.00,7.070460e+02
1865.00,30.00,4.398946e+02
1895.00,30.00,1.070460e+02
1925.00,30.00,0
1955.00,30.00,0
1985.00,30.00,0
2015.00,30.00,0
2045.00,30.00,0
2075.00,30.00,0
2105.00,30.00,0
2135.00,30.00,0
2165.00,30.00,0
2195.00,30.00,0
2225.00,30.00,0
2255.00,30.00,3.493159e+02
2285.00,30.00,5.387449e+02
2315.00,30.00,8.270460e+02
2345.00,30.00,0
2375.00,30.00,2.293159e+02
2405.00,30.00,4.187449e+02
2435.00,30.00,8.270460e+02
2465.00,30.00,5.598946e+02
2495.00,30.00,1.070460e+02
2525.00,30.00,0
2555.00,30.00,0
2585.00,30.00,0
2615.00,30.00,0
2645.00,30.00,0
2675.00,30.00,0
2705.00,30.00,0
2735.00,30.00,0
2765.00,30.00,0
2795.00,30.00,0
2825.00,30.00,0
2855.00,30.00,0
2885.00,30.00,8.422699e+02
2915.00,30.00,7.070460e+02
2945.00,30.00,0
2975.00,30.00,5.257909e+02
3005.00,30.00,2.422699e+02
3035.00,30.00,7.070460e+02
3065.00,30.00,8.375116e+02
3095.00,30.00,0
3125.00,30.00,0
3155.00,30.00,0
3185.00,30.00,0
3215.00,30.00,0
3245.00,30.00,0
3275.00,30.00,0
3305.00,30.00,0
3335.00,30.00,0
3365.00,30.00,0
3395.00,30.00,0
3425.00,30.00,2.269874e+00
3455.00,30.00,7.070460e+02
3485.00,30.00,1.222699e+02
3515.00,30.00,1800
3545.00,30.00,1800
3575.00,30.00,1800
